epoch,train_loss,cls_loss,reg_loss,cnt_loss,mAP
1,1.9194931174789727,0.518060344391029,0.7775348941041105,0.6238978749879912,0.00020292726468990348
2,1.7993278623293232,0.4922513475631202,0.689924540299943,0.6171519747992468,0.008065686824450805
3,1.7554085817416953,0.4818771301701082,0.6591210505982351,0.6144104005571184,0.009049668598876912
4,1.7419640075561054,0.4833312525762526,0.6459234135443938,0.6127093387715643,0.013920990730363726
5,1.7305959579664902,0.47656394316497463,0.6422757434778373,0.6117562691592637,0.008015489240721986
6,1.7100974151542068,0.47166542534055655,0.6283451136430549,0.6100868759208551,0.010691810324771353
7,1.7159336732086523,0.4693684266599197,0.6359138418009828,0.610651405829957,0.020093601588258618
8,1.699310921423928,0.46675598846134525,0.6235980301595933,0.6089569025532493,0.02058124490775557
9,1.7033262932100774,0.4671626750317366,0.6267071419588014,0.6094564798823948,0.03749275218084182
10,1.692702844822207,0.46241558497178487,0.6224648022618373,0.6078224600027393,0.04068484074853103
11,1.6925883126658434,0.4597613228765946,0.6242044940174625,0.6086224961880199,0.03526867958711753
12,1.6895378897975943,0.4646313048940797,0.6178430065762397,0.607063573665459,0.028165370322966777
13,1.666573426243979,0.45474080475016015,0.605529881805681,0.6063027390221644,0.021040884707395065
14,1.6620129859647272,0.45542812006100597,0.6004366451801535,0.6061482213062948,0.04854322697873835
15,1.6462263568153594,0.44381421446467245,0.5970979383704382,0.6053142008168737,0.05028705924843687
16,1.6433583341497282,0.44211748641962445,0.5959171155811022,0.6053237333977023,0.055445789340567556
17,1.6353550872989207,0.43836004507608256,0.591562941587171,0.6054320999696934,0.05334768990659281
18,1.6169737434254012,0.43471632302639873,0.5788988505994808,0.6033585729212735,0.04661975647313869
19,1.6119091950315336,0.43287644481192755,0.576621282949794,0.6024114647724109,0.04161995064385597
20,1.618641497702572,0.43784452550238073,0.5776320451131746,0.603164924090135,0.0656177485512977
21,1.6049288834273483,0.4337115179560038,0.5694786102079147,0.6017387552634298,0.04973269035573048
22,1.5877625326204565,0.42605963332693003,0.5600415067799265,0.6016613934293139,0.0601432377867495
23,1.596392329178709,0.4325831038825339,0.5617510999381209,0.602058127106235,0.06845165975673713
24,2.026162980655052,0.8665090572068145,0.5598777048914126,0.5997762222196803,0.07414894537471005
25,1.5954893188103618,0.4513487019602147,0.5447463596333338,0.5993942578411635,0.09017673627792358
26,1.5673989347239445,0.4203273954504695,0.546660003215907,0.6004115299805582,0.08267029967493182
27,1.5533814130548658,0.4162385410020471,0.5384710914762326,0.5986717832821041,0.078729756333405
28,1.5562674206728375,0.4201572778837641,0.5370440467276387,0.5990660954787078,0.07585384988899455
29,1.5402737682758096,0.4119028839069372,0.5304566374537665,0.5979142470399761,0.09113286159253312
30,1.527107237104597,0.4070260048994805,0.5227401774355819,0.597341053645704,0.09635050036482642
31,1.5278371029725955,0.4071386799049777,0.5226611678160769,0.5980372570413451,0.11554758423597641
32,1.9618998529524776,0.8343588959987603,0.5300136636422333,0.5975272935196008,0.09298789572160822
33,1.5327504453712335,0.40834550501248024,0.526846036980938,0.5975589059584634,0.1135716240283224
34,1.5057610296670285,0.40050174907765573,0.509898433805178,0.5953608461598444,0.12215047545120954
35,1.5020944882371572,0.39416786728624525,0.5114730021307589,0.5964536238982024,0.11999222551889652
36,1.4900189628148213,0.39254271189094253,0.501108539628916,0.5963677146248312,0.13107705020575805
37,1.4822502569113363,0.38741082327658904,0.49962086813243406,0.5952185610486143,0.13633276915475287
38,1.4948444682792579,0.389800820728587,0.5084815698379245,0.5965620750488516,0.1316734505469516
39,1.4684553905572306,0.3794721180999745,0.49458708335234464,0.5943961869404969,0.14928298098462867
40,1.476572719033204,0.38235258111241144,0.4978379069843106,0.5963822361810247,0.14197346629728985
41,1.4767604307089437,0.3808394933962289,0.500641809412221,0.5952791315217257,0.1454840210631165
42,1.4591511830937263,0.37294298660155784,0.4922005725639492,0.5940076279240614,0.1451078680315593
43,1.4549716810940365,0.3740745194297929,0.4868017096675974,0.5940954547021642,0.15057342633381957
44,1.4476493633659193,0.3710829573969601,0.48325048903180234,0.59331591685391,0.14960852839610375
45,1.4472061026029746,0.36907299662102533,0.4848144099782299,0.593318695129629,0.15100264448519002
46,1.452268333075433,0.3719800753133923,0.4859302610824894,0.5943579968460445,0.15515660951452537
47,1.454066407081135,0.37052432518431594,0.4889543248371705,0.5945877566017919,0.15187259883760784
48,1.4277367182284093,0.36335062085749714,0.47285202099790785,0.5915340766227445,0.1528726258778122
49,1.4517191525278144,0.37048017017168705,0.4876942410232635,0.5935447410831238,0.1543822514919708
50,1.424386135692703,0.35772086492630356,0.47428171394923546,0.5923835573582675,0.1540704945586037
